id,name,address,created_at,updated_at,phone,image_url,cross_streets,hood,latitude,longitude,yelp_rating,yelp_id,category,neighborhood_id,rated_at,slug
1485,200 Orchard,200 Orchard St,2015-01-12 01:18:02.024648,2015-01-23 16:53:09.506642,2122532235,http://s3-media2.fl.yelpcdn.com/bphoto/WAUXKFiGBnlQvWeB9s7nVg/ms.jpg,,Lower East Side,40.722279926024,-73.987862754543,3.0,200-orchard-new-york,Dance Clubs,3,2015-01-22 22:06:37.476382,200-orchard
1710,Kazuza,107 Ave A,2015-01-12 01:18:03.205318,2015-01-23 16:53:09.667126,2125059300,http://s3-media4.fl.yelpcdn.com/bphoto/vyZLg4JF2RsE2dT5pwJsCQ/ms.jpg,,East Village,40.7260208,-73.9839325,3.5,kazuza-new-york,Hookah Bars,6,,kazuza
1517,Bar On A,170 Ave A,2015-01-12 01:18:02.188589,2015-01-23 16:53:09.534371,2123538231,http://s3-media2.fl.yelpcdn.com/bphoto/bnGq7rwzP94_UYYxqaK3sQ/ms.jpg,,East Village,40.728218,-73.981636,3.5,bar-on-a-new-york,Lounges,6,,bar-on-a
1713,Le Souk Harem,510 Laguardia Pl,2015-01-12 01:18:03.222743,2015-01-23 16:53:09.677038,2127775454,http://s3-media4.fl.yelpcdn.com/bphoto/B-wtK3pAlqGjqNVBxf7QbQ/ms.jpg,,Greenwich Village,40.7277145,-73.9994507,2.5,le-souk-harem-new-york,Dance Clubs,2,,le-souk-harem
1715,Leftfield,87 Ludlow St,2015-01-12 01:18:03.231622,2015-01-23 16:53:09.695895,2126771100,http://s3-media2.fl.yelpcdn.com/bphoto/4t8IGm5QxUmZl-IvUKWRbw/ms.jpg,,Lower East Side,40.718342,-73.98951,3.5,leftfield-new-york,Music Venues,3,,leftfield
1718,Lexicon,226 E 54th St,2015-01-12 01:18:03.244632,2015-01-23 16:53:09.704063,2125057400,http://s3-media4.fl.yelpcdn.com/bphoto/yQ7ezPa-c9UTJYB4FqZe2w/ms.jpg,,Midtown East,40.757626,-73.96785,2.0,lexicon-new-york,Dance Clubs,14,,lexicon
1721,Lilium,W Hotel,2015-01-12 01:18:03.259474,2015-01-23 16:53:09.719815,2123581560,http://s3-media4.fl.yelpcdn.com/bphoto/XnGgnKx9GbNjrPfS_z95Ww/ms.jpg,,East Village,40.7329499227693,-73.9884567260742,2.0,lilium-manhattan,Lounges,6,,lilium
1723,bOb Bar,235 Eldridge St,2015-01-12 01:18:03.267798,2015-01-23 16:53:09.731442,2125291807,http://s3-media1.fl.yelpcdn.com/bphoto/l8ecIUgjSsJsioElKyJXTg/ms.jpg,,Lower East Side,40.7223129,-73.9900055,3.5,bob-bar-new-york,Dance Clubs,3,,bob-bar
1725,Littlefield,622 Degraw St,2015-01-12 01:18:03.276225,2015-01-23 16:53:09.739793,7188553388,http://s3-media3.fl.yelpcdn.com/bphoto/R144HwZlmlq5pYaraXND5w/ms.jpg,,Gowanus,40.679125732352,-73.98350367628,4.0,littlefield-brooklyn,Bars,8,,littlefield
1952,The Well,272 Meserole St,2015-01-12 01:18:04.472562,2015-01-23 16:53:10.244478,3473383612,http://s3-media1.fl.yelpcdn.com/bphoto/djpCoF26IVD0LpR7SzjOyw/ms.jpg,,East Williamsburg,40.7084722,-73.9378744,3.5,the-well-brooklyn,Bars,21,,the-well
