id,name,date,time,description,dj_id,venue_id,created_at,updated_at,promoter_id,festival_id,photo_file_name,photo_content_type,photo_file_size,photo_updated_at
3,,2015-01-24,,,,1538,2015-01-24 19:24:01.222055,2015-01-24 19:24:01.222055,,,,,,
4,,2015-01-10,,,,1535,2015-01-24 20:15:18.164217,2015-01-24 20:15:18.164217,,,,,,
5,,2015-01-24,,,,1605,2015-01-26 13:43:01.966457,2015-01-26 13:43:01.966457,,,,,,
8,,2014-11-12,,,,1713,2015-01-27 20:48:12.921344,2015-01-27 20:48:12.921344,,,,,,
9,,2014-11-08,,,,1538,2015-01-27 20:51:10.285457,2015-01-27 20:51:10.285457,,,,,,
70,,2015-04-10,,,,1589,2015-04-12 16:43:33.064026,2015-04-12 16:43:33.064026,,,,,,
13,,2015-01-24,,,,1633,2015-02-03 17:06:30.614278,2015-02-03 17:06:30.614278,,,,,,
71,,,,,,302,2015-04-13 02:08:30.007961,2015-04-13 02:08:30.007961,,,,,,
11,,2015-01-24,,,,1977,2015-02-02 01:55:18.564374,2015-02-03 17:11:10.952228,,,,,,
14,,,,,,534,2015-02-03 17:11:43.872403,2015-02-03 17:11:43.872403,,,,,,
16,,,,,,534,2015-02-03 22:18:13.408082,2015-02-03 22:18:13.408082,,,,,,
17,,,,,,704,2015-02-03 23:06:10.610914,2015-02-03 23:06:10.610914,,,,,,
72,,2015-04-09,,,724,1706,2015-04-14 02:29:52.646133,2015-04-14 20:48:30.157161,,,,,,
12,,2015-01-24,,,704,1491,2015-02-03 17:00:46.729149,2015-02-03 23:07:54.567093,,,,,,
6,,2015-01-21,,,,1491,2015-01-26 14:48:16.816112,2015-02-03 23:08:21.186096,,,,,,
18,,,,,,1973,2015-02-04 02:52:31.410032,2015-02-04 02:52:31.410032,,,,,,
73,,2015-04-09,,,,1763,2015-04-14 21:42:41.31917,2015-04-14 21:42:41.31917,,,,,,
10,,2015-01-31,,,,1955,2015-02-01 14:57:48.171206,2015-02-04 19:00:02.615141,,,,,,
19,,,,,,302,2015-02-04 19:00:09.730317,2015-02-04 19:00:09.730317,,,,,,
20,,,,,,705,2015-02-05 16:54:44.402242,2015-02-05 16:54:44.402242,,,,,,
21,,,,,,1666,2015-02-06 15:55:19.766122,2015-02-06 15:55:19.766122,,,,,,
74,,2015-04-15,,,,1792,2015-04-16 18:05:01.48313,2015-04-16 18:05:01.48313,,,,,,
100,,2014-12-13,,,,1962,2015-06-11 16:23:46.499957,2015-06-11 16:23:46.499957,,,,,,
23,,,,,,302,2015-02-09 18:26:40.161287,2015-02-09 18:26:40.161287,,,,,,
24,,,,,,709,2015-02-09 18:36:47.974566,2015-02-09 18:36:47.974566,,,,,,
25,,,,,,709,2015-02-09 18:37:05.60322,2015-02-09 18:37:05.60322,,,,,,
26,,,,,,709,2015-02-09 18:42:08.220028,2015-02-09 18:42:08.220028,,,,,,
75,,2015-04-16,,,,1989,2015-04-18 19:41:28.472755,2015-04-18 19:41:28.472755,,,,,,
28,,2015-04-18,,,,1789,2015-02-10 03:13:01.484583,2015-04-20 00:21:16.400219,,,,,,
29,,,,,,302,2015-02-10 20:19:27.509971,2015-02-10 20:19:27.509971,,,,,,
30,,,,,,302,2015-02-11 22:38:00.845462,2015-02-11 22:38:00.845462,,,,,,
31,,2015-02-07,,,,1860,2015-02-12 00:19:40.103195,2015-02-12 00:21:38.031163,,,,,,
32,,,,,,1768,2015-02-15 02:14:43.847207,2015-02-15 02:14:43.847207,,,,,,
34,,2015-02-14,,,,1784,2015-02-16 16:40:51.305931,2015-02-16 16:48:41.921971,,,,,,
35,,,,,,302,2015-02-16 16:48:56.164476,2015-02-16 16:48:56.164476,,,,,,
76,,2015-04-17,,,726,1783,2015-04-22 10:54:20.783373,2015-04-22 10:54:20.783373,,,,,,
36,,,,,,534,2015-02-17 18:56:02.364291,2015-02-17 18:56:02.364291,,,,,,
37,,,,,,302,2015-02-17 20:38:31.39778,2015-02-17 20:38:31.39778,,,,,,
38,,,,,,302,2015-02-17 20:38:46.125153,2015-02-17 20:38:46.125153,,,,,,
39,,,,,,590,2015-02-17 21:21:06.277689,2015-02-17 21:21:06.277689,,,,,,
40,,,,,,340,2015-02-17 21:22:35.162256,2015-02-17 21:22:35.162256,,,,,,
41,,,,,,340,2015-02-17 21:22:41.747135,2015-02-17 21:22:41.747135,,,,,,
42,,,,,,1485,2015-02-17 21:45:59.614636,2015-02-17 21:45:59.614636,,,,,,
43,,,,,,1951,2015-02-20 17:48:50.522582,2015-02-20 17:48:50.522582,,,,,,
44,,2015-02-19,,,712,1783,2015-03-02 18:01:12.178685,2015-03-02 18:05:47.431142,,,,,,
144,,2015-06-24,,,1765,2024,2015-06-25 17:33:28.667422,2015-06-25 17:33:28.667422,,,20150624_225229.jpg,image/jpeg,845407,2015-06-25 17:33:27.321521
45,,2015-02-19,,,714,1693,2015-03-02 22:39:08.490803,2015-03-02 22:41:42.888491,,,,,,
46,,2015-03-07,,,,1985,2015-03-10 15:25:46.237991,2015-03-10 15:27:52.579207,,,,,,
78,,2015-04-23,,,731,1564,2015-04-24 19:40:08.640932,2015-04-24 20:17:14.596777,8,,,,,
47,,2015-03-12,,,715,1564,2015-03-13 14:29:02.943764,2015-03-13 14:33:49.957694,,,,,,
