id,name,created_at,updated_at,slug,image_url,rated_at,link,fbpage_id,about,fb_photo
11,UNCODE,2015-04-28 14:45:55.996124,2015-08-28 17:35:07.755757,uncode,,2014-12-12 19:08:13.462566,https://www.facebook.com/uncodeus,357483501126548,UNCODE US,
5,BangOn!NYC,2015-04-22 21:57:37.356596,2015-08-28 17:35:08.037915,bangon!nyc,,2015-08-24 20:51:43.496186,https://www.facebook.com/ItsBangOnNYC,291556367595372,,https://scontent.xx.fbcdn.net/hphotos-xap1/t31.0-8/s720x720/11224198_856308434453493_2886118869100943305_o.jpg
25,Social Studies/Move,2015-05-06 19:54:59.152639,2015-08-24 21:28:12.657791,social-studies-move,,2015-08-24 21:28:12.633988,,,,
17,PS1 Warm Up,2015-05-05 02:12:45.577028,2015-08-28 17:35:08.248074,ps1-warm-up,,2014-12-12 19:08:13.504921,https://www.facebook.com/pages/Moma-Ps-1-Warm-Up/179619275431540,179619275431540,,
4,Under the Sound,2015-04-22 21:56:59.981378,2015-08-28 17:35:08.614526,under-the-sound,,2015-06-03 00:00:00,https://www.facebook.com/underthesoundnyc,868267023224563,"You can comp us, but it won't affect our coverage. ",https://scontent.xx.fbcdn.net/hphotos-xfp1/t31.0-8/s720x720/10866177_868269703224295_7695104289234991249_o.jpg
15,Tiki Disco,2015-05-05 02:11:11.537123,2015-09-22 18:03:38.102403,tiki-disco,,2015-09-22 18:03:37.689117,,,,
14,Open Air NY,2015-04-30 15:29:46.787088,2015-06-12 19:08:13.487156,open-air-ny,,2014-12-12 19:08:13.482933,,,,
8,TheFamNYC,2015-04-22 21:59:27.553826,2015-06-15 19:15:45.395056,thefamnyc,,2015-06-15 19:15:45.345801,,,,
3,Something Different/Chromed/Might Get Weird,2015-04-22 21:56:47.429602,2015-11-03 15:18:11.691144,something-different-chromed-might-get-weird,,2015-11-03 15:18:11.68574,,,,
7,Daybreaker,2015-04-22 21:58:08.638891,2015-08-28 17:35:09.073102,daybreaker,,2015-06-03 00:00:00,https://www.facebook.com/dybrkr,919990134684895,Daybreaker is a morning movement that will start your day off unlike anything else.,https://scontent.xx.fbcdn.net/hphotos-xpf1/t31.0-8/p480x480/10497229_974280032589238_3204633025623779367_o.jpg
18,Time Bottle NYC,2015-05-05 20:02:27.724151,2015-06-12 19:08:13.515382,time-bottle-nyc,,2014-12-12 19:08:13.51261,,,,
19,Mad Decent,2015-05-05 20:09:31.985697,2015-06-12 19:08:13.523519,mad-decent,,2014-12-12 19:08:13.520744,,,,
