id,score,created_at,updated_at,user_id,seen_live,event_id
68,0,2015-01-24 16:14:02.988737,2015-01-24 16:14:02.988737,15,,
126,0,2015-02-06 15:55:19.77734,2015-02-06 15:55:19.77734,15,,21
157,3,2015-03-10 15:25:46.272732,2015-03-10 15:26:51.317518,19,,46
127,5,2015-02-06 16:12:54.163827,2015-02-06 18:29:26.524617,15,,22
73,0,2015-01-24 18:40:19.787736,2015-01-24 18:40:19.787736,15,,
128,0,2015-02-09 18:26:40.185288,2015-02-09 18:26:40.185288,15,,23
129,0,2015-02-09 18:36:47.989983,2015-02-09 18:36:47.989983,15,,24
75,0,2015-01-24 19:28:44.868595,2015-01-24 19:28:44.868595,15,,
130,0,2015-02-09 18:37:05.615495,2015-02-09 18:37:05.615495,15,,25
76,5,2015-01-24 20:11:23.033229,2015-01-24 20:15:18.168747,17,,4
78,0,2015-01-25 05:11:49.331815,2015-01-25 05:11:49.331815,16,,
79,0,2015-01-25 05:13:09.567619,2015-01-25 05:13:09.567619,16,,
80,0,2015-01-25 05:14:13.79161,2015-01-25 05:14:13.79161,16,,
131,0,2015-02-09 18:42:08.255418,2015-02-09 18:42:08.255418,15,,26
81,5,2015-01-25 05:59:04.649387,2015-01-25 05:59:18.358652,16,,
82,5,2015-01-26 13:37:34.070678,2015-01-26 13:37:39.435483,15,,
17,0,2015-01-15 22:34:15.771949,2015-01-15 22:34:15.771949,,,
132,0,2015-02-09 18:49:43.632931,2015-02-09 18:49:43.632931,15,,4
83,3,2015-01-26 13:38:57.511593,2015-01-26 13:43:01.978122,15,,5
74,0,2015-01-24 19:10:17.556945,2015-01-26 14:48:25.873127,15,,6
84,0,2015-01-26 15:37:41.04316,2015-01-26 15:37:41.04316,15,,
85,0,2015-01-26 19:03:05.024947,2015-01-26 19:03:05.024947,15,,
87,0,2015-01-26 19:08:24.79443,2015-01-26 19:08:24.79443,15,,
134,4,2015-02-10 03:13:01.545649,2015-04-19 22:29:01.821916,15,,28
86,4,2015-01-26 19:08:10.887405,2015-01-26 19:11:40.177326,15,,7
88,0,2015-01-26 19:16:19.837468,2015-01-26 19:16:19.837468,2,,
135,0,2015-02-10 20:19:27.52237,2015-02-10 20:19:27.52237,15,,29
90,4,2015-01-27 20:44:39.94511,2015-01-27 20:48:12.936922,21,,8
91,0,2015-01-27 20:48:36.594776,2015-01-27 20:48:36.594776,21,,
89,2,2015-01-27 20:42:44.549779,2015-01-27 20:51:10.298566,21,,9
92,0,2015-01-28 16:23:06.209608,2015-01-28 16:23:06.209608,15,,
93,0,2015-01-28 16:54:02.871347,2015-01-28 16:54:02.871347,15,,
94,0,2015-01-28 19:41:30.184243,2015-01-28 19:41:30.184243,15,,
95,0,2015-01-28 21:08:29.033769,2015-01-28 21:08:29.033769,23,,
96,0,2015-01-28 21:42:27.482576,2015-01-28 21:42:27.482576,15,,
97,0,2015-01-29 16:29:49.078652,2015-01-29 16:29:49.078652,15,,
98,0,2015-01-29 19:38:03.844117,2015-01-29 19:38:03.844117,15,,
99,0,2015-01-29 21:34:19.936437,2015-01-29 21:34:19.936437,23,,
100,0,2015-01-29 21:35:14.532467,2015-01-29 21:35:14.532467,23,,
101,0,2015-01-29 21:36:10.431702,2015-01-29 21:36:10.431702,23,,
102,0,2015-01-30 16:31:41.239884,2015-01-30 16:31:41.239884,15,,
103,0,2015-01-30 16:34:16.050926,2015-01-30 16:34:16.050926,15,,
104,0,2015-01-30 16:34:31.670255,2015-01-30 16:34:31.670255,15,,
105,0,2015-01-30 19:45:52.57985,2015-01-30 19:45:52.57985,15,,
106,0,2015-01-31 13:03:55.698815,2015-01-31 13:03:55.698815,15,,
136,0,2015-02-11 22:38:00.956402,2015-02-11 22:38:00.956402,15,,30
108,4,2015-02-01 14:55:34.171113,2015-02-01 14:57:48.181115,15,,10
107,4,2015-02-01 14:50:18.409588,2015-02-01 15:33:34.866368,15,,
77,3,2015-01-25 05:07:14.262305,2015-02-02 01:55:18.579323,16,,11
109,0,2015-02-02 18:40:27.947845,2015-02-02 18:40:27.947845,15,,
110,0,2015-02-02 18:57:57.904137,2015-02-02 18:57:57.904137,15,,
111,0,2015-02-02 20:17:56.737723,2015-02-02 20:17:56.737723,15,,
112,0,2015-02-02 20:34:17.006486,2015-02-02 20:34:17.006486,15,,
113,0,2015-02-02 21:30:12.563081,2015-02-02 21:30:12.563081,15,,
114,0,2015-02-02 23:52:29.416112,2015-02-02 23:52:29.416112,15,,
71,4,2015-01-24 16:55:22.594221,2015-02-03 17:00:51.743643,16,,12
72,5,2015-01-24 17:19:07.350335,2015-02-03 17:06:40.861575,16,,13
115,0,2015-02-03 17:07:45.665772,2015-02-03 17:07:45.665772,15,,11
116,0,2015-02-03 17:09:51.294926,2015-02-03 17:09:51.294926,15,,8
117,0,2015-02-03 17:10:28.106989,2015-02-03 17:10:28.106989,15,,13
118,0,2015-02-03 17:11:43.898283,2015-02-03 17:11:43.898283,15,,14
137,4,2015-02-12 00:19:40.117433,2015-02-12 00:19:51.641916,26,,31
138,0,2015-02-12 00:35:28.266976,2015-02-12 00:35:28.266976,15,,31
140,0,2015-02-15 02:14:43.881784,2015-02-15 02:14:43.881784,18,,32
119,0,2015-02-03 20:12:49.93579,2015-02-03 20:13:48.298076,15,,15
120,0,2015-02-03 22:18:13.433005,2015-02-03 22:18:13.433005,15,,16
121,0,2015-02-03 23:06:10.638793,2015-02-03 23:06:10.638793,15,,17
122,0,2015-02-03 23:08:23.992962,2015-02-03 23:08:23.992962,15,,12
123,0,2015-02-04 02:52:31.440927,2015-02-04 02:52:31.440927,19,,18
124,0,2015-02-04 19:00:09.737677,2015-02-04 19:00:09.737677,15,,19
125,0,2015-02-05 16:54:44.421439,2015-02-05 16:54:44.421439,15,,20
143,0,2015-02-16 16:48:56.179339,2015-02-16 16:48:56.179339,15,,35
144,4,2015-02-16 22:01:22.147376,2015-02-16 22:11:49.631882,18,,33
145,0,2015-02-17 18:56:02.396215,2015-02-17 18:56:02.396215,15,,36
146,0,2015-02-17 20:38:31.425493,2015-02-17 20:38:31.425493,15,,37
147,0,2015-02-17 20:38:46.144967,2015-02-17 20:38:46.144967,15,,38
148,0,2015-02-17 21:21:06.296236,2015-02-17 21:21:06.296236,15,,39
149,0,2015-02-17 21:22:35.179991,2015-02-17 21:22:35.179991,15,,40
150,0,2015-02-17 21:22:41.767703,2015-02-17 21:22:41.767703,15,,41
151,0,2015-02-17 21:45:59.6359,2015-02-17 21:45:59.6359,15,,42
153,0,2015-02-20 17:48:50.536995,2015-02-20 17:48:50.536995,27,,43
152,5,2015-02-19 20:52:31.152916,2015-03-02 18:04:30.061668,27,,44
154,5,2015-02-21 20:47:49.817365,2015-03-02 18:05:11.282032,21,,44
139,5,2015-02-12 18:51:09.613665,2015-03-02 18:05:16.308466,15,,44
156,4,2015-03-02 22:39:08.603375,2015-03-02 22:39:13.900349,15,,45
158,5,2015-03-13 14:29:02.972494,2015-03-13 14:29:08.146994,15,,47
159,4,2015-03-13 16:31:14.603265,2015-03-13 16:31:31.413092,2,,48
160,5,2015-03-15 17:51:03.353652,2015-03-15 17:54:13.739357,18,,49
161,3,2015-03-20 18:44:06.660632,2015-03-20 18:44:12.7389,15,,50
162,4,2015-03-23 14:38:13.884946,2015-03-23 14:38:21.962337,28,,51
163,4,2015-03-23 14:54:11.124033,2015-03-23 14:54:21.385665,15,,52
166,0,2015-03-26 19:50:32.893235,2015-03-26 19:50:32.893235,15,,56
164,0,2015-03-26 19:35:21.834443,2015-03-26 19:35:21.834443,15,,53
165,0,2015-03-26 19:35:26.886763,2015-03-26 19:35:26.886763,15,,54
141,4,2015-02-16 16:39:15.845991,2015-03-26 19:45:00.210642,15,,55
167,0,2015-03-30 21:56:32.975361,2015-03-30 21:56:32.975361,15,,57
168,0,2015-03-31 16:04:22.031969,2015-03-31 16:04:22.031969,15,,58
169,0,2015-03-31 16:32:26.476348,2015-03-31 16:32:26.476348,15,,59
69,1,2015-01-24 16:15:41.469484,2015-04-05 23:07:43.000596,15,,1
170,3,2015-04-05 23:01:09.194411,2015-04-05 23:03:31.627903,15,,60
133,4,2015-02-09 21:24:53.818186,2015-04-10 19:03:36.428886,19,,65
155,5,2015-03-02 18:17:52.260586,2015-04-10 17:55:17.038644,15,,27
142,3,2015-02-16 16:40:51.319841,2015-09-18 16:25:29.423529,15,,34
171,3,2015-04-05 23:17:14.073194,2015-04-05 23:17:18.396856,15,,61
172,4,2015-04-05 23:22:13.540296,2015-04-05 23:22:20.06001,15,,62
173,0,2015-04-06 01:55:04.84015,2015-04-06 01:55:04.84015,15,,
174,0,2015-04-08 00:20:52.27051,2015-04-08 00:20:52.27051,15,,
175,0,2015-04-08 04:14:23.281257,2015-04-08 04:14:23.281257,15,,
176,0,2015-04-08 14:20:48.566779,2015-04-08 14:20:48.566779,15,,
177,0,2015-04-08 14:21:12.171627,2015-04-08 14:21:12.171627,15,,
178,0,2015-04-08 16:47:29.415989,2015-04-08 16:47:29.415989,15,,
179,0,2015-04-08 16:47:58.64628,2015-04-08 16:47:58.64628,15,,
180,0,2015-04-08 16:48:46.562464,2015-04-08 16:48:46.562464,15,,
181,0,2015-04-08 16:49:07.241199,2015-04-08 16:49:07.241199,15,,
182,0,2015-04-08 16:49:15.200427,2015-04-08 16:49:15.200427,15,,
183,0,2015-04-08 20:08:32.656431,2015-04-08 20:08:32.656431,15,,
184,0,2015-04-08 20:09:33.275756,2015-04-08 20:09:33.275756,15,,
185,0,2015-04-08 21:00:23.673264,2015-04-08 21:00:23.673264,15,,
186,0,2015-04-08 21:07:01.530677,2015-04-08 21:07:01.530677,15,,63
187,0,2015-04-08 21:07:08.035915,2015-04-08 21:07:08.035915,15,,
188,0,2015-04-08 21:09:40.900003,2015-04-08 21:09:40.900003,15,,
189,0,2015-04-08 21:10:01.066719,2015-04-08 21:10:01.066719,15,,
190,0,2015-04-08 21:10:43.719305,2015-04-08 21:10:43.719305,15,,
191,0,2015-04-08 21:28:32.2231,2015-04-08 21:28:32.2231,15,,
192,0,2015-04-09 17:59:52.204522,2015-04-09 17:59:52.204522,15,,64
193,0,2015-04-09 18:41:09.438001,2015-04-09 18:41:09.438001,15,,
194,0,2015-04-09 18:46:24.738242,2015-04-09 18:46:24.738242,15,,
195,0,2015-04-09 18:56:14.032237,2015-04-09 18:56:14.032237,15,,
196,0,2015-04-09 19:10:18.126298,2015-04-09 19:10:18.126298,15,,
197,0,2015-04-10 17:53:16.427318,2015-04-10 17:53:16.427318,15,,
198,0,2015-04-10 19:04:02.751505,2015-04-10 19:04:02.751505,15,,
199,0,2015-04-10 19:06:06.000127,2015-04-10 19:06:06.000127,15,,
200,0,2015-04-10 19:06:21.054368,2015-04-10 19:06:21.054368,15,,
242,0,2015-04-24 21:29:32.91876,2015-04-24 21:29:32.91876,15,,
202,0,2015-04-10 19:29:11.694351,2015-04-10 19:29:11.694351,15,,
203,0,2015-04-10 19:29:28.19482,2015-04-10 19:29:28.19482,15,,
204,0,2015-04-10 20:28:18.449411,2015-04-10 20:28:18.449411,15,,
205,0,2015-04-10 20:28:39.606771,2015-04-10 20:28:39.606771,15,,
206,0,2015-04-10 21:12:15.348858,2015-04-10 21:12:15.348858,15,,
207,0,2015-04-10 21:12:36.508696,2015-04-10 21:12:36.508696,15,,
208,0,2015-04-10 21:20:27.497025,2015-04-10 21:20:27.497025,15,,
243,0,2015-04-24 21:29:37.823715,2015-04-24 21:29:37.823715,15,,78
209,3,2015-04-10 21:21:28.530705,2015-04-10 21:23:27.409936,15,,67
244,0,2015-04-27 00:17:18.874919,2015-04-27 00:17:18.874919,32,,
210,4,2015-04-12 16:31:16.163319,2015-04-12 16:35:51.143767,15,,68
211,0,2015-04-12 16:38:06.455573,2015-04-12 16:38:06.455573,15,,69
212,3,2015-04-12 16:41:31.333097,2015-04-12 16:43:33.071399,15,,70
213,0,2015-04-12 23:27:31.159918,2015-04-12 23:27:31.159918,15,,
214,0,2015-04-13 02:08:30.087651,2015-04-13 02:08:30.087651,15,,71
215,0,2015-04-13 02:49:20.471293,2015-04-13 02:49:20.471293,15,,
216,0,2015-04-13 20:46:00.605406,2015-04-13 20:46:00.605406,15,,
261,0,2015-04-30 21:45:29.356253,2015-04-30 21:45:29.356253,15,,
217,3,2015-04-14 02:28:05.047676,2015-04-14 02:29:52.665585,30,,72
218,0,2015-04-14 04:18:26.736864,2015-04-14 04:18:26.736864,15,,
219,0,2015-04-14 20:13:27.53957,2015-04-14 20:13:27.53957,15,,
245,3,2015-04-27 00:19:07.082502,2015-04-27 00:23:38.678744,15,,80
220,5,2015-04-14 21:39:30.643614,2015-04-14 21:42:41.336522,15,,73
246,0,2015-04-27 23:07:09.487477,2015-04-27 23:07:09.487477,15,,
221,3,2015-04-16 15:48:45.611962,2015-04-16 18:05:01.503545,15,,74
222,3,2015-04-17 15:02:08.293331,2015-04-17 15:03:05.509984,31,,
247,3,2015-04-27 23:14:17.617468,2015-04-27 23:15:19.519084,15,,81
223,3,2015-04-18 19:39:50.333656,2015-04-18 19:41:28.491191,15,,75
224,0,2015-04-21 13:16:08.988689,2015-04-21 13:16:08.988689,15,,
225,0,2015-04-21 13:41:55.01451,2015-04-21 13:41:55.01451,15,,
226,0,2015-04-21 16:53:12.273587,2015-04-21 16:53:12.273587,15,,
227,0,2015-04-22 01:53:02.173096,2015-04-22 01:53:02.173096,15,,
228,3,2015-04-22 10:56:36.087681,2015-04-22 10:56:36.087681,15,,76
229,0,2015-04-22 11:05:47.299839,2015-04-22 11:05:47.299839,15,,
248,0,2015-04-27 23:16:33.458612,2015-04-27 23:16:33.458612,15,,
